Type;FSP;
Version;4.50;
Date;01.Jan 03;
Mode;ANALYZER;
Center Freq;2505000000.000000;Hz
Freq Offset;0.000000;Hz
Span;4990000000.000000;Hz
x-Axis;LIN;
Start;10000000.000000;Hz
Stop;5000000000.000000;Hz
Ref Level;-40.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;10000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.100000;s
Trace Mode;AVERAGE;
Detector;AVERAGE;
Sweep Count;10;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;NOT AVAILABLE;
Transducer;OFF;
Values;501;
10000000;-56.764007568359375;
19980000;-74.696144104003906;
29960000;-74.852012634277344;
39940000;-74.692619323730469;
49920000;-74.606376647949219;
59900000;-74.542373657226563;
69880000;-74.40704345703125;
79860000;-74.426902770996094;
89840000;-74.417739868164063;
99820000;-74.356697082519531;
109800000;-74.345993041992188;
119780000;-74.285606384277344;
129760000;-74.186904907226562;
139740000;-74.1533203125;
149720000;-74.0562744140625;
159700000;-74.080413818359375;
169680000;-73.891899108886719;
179660000;-73.779754638671875;
189640000;-73.833335876464844;
199620000;-73.736831665039063;
209600000;-73.729591369628906;
219580000;-73.7806396484375;
229560000;-73.836196899414063;
239540000;-73.8914794921875;
249520000;-73.910697937011719;
259500000;-73.983657836914063;
269480000;-74.020332336425781;
279460000;-74.020904541015625;
289440000;-74.059127807617188;
299420000;-74.185096740722656;
309400000;-74.249702453613281;
319380000;-74.295112609863281;
329360000;-74.290733337402344;
339340000;-74.301071166992188;
349320000;-74.280555725097656;
359300000;-74.258270263671875;
369280000;-74.185417175292969;
379260000;-74.122100830078125;
389240000;-74.055168151855469;
399220000;-73.9866943359375;
409200000;-73.970550537109375;
419180000;-73.974044799804687;
429160000;-73.959274291992188;
439140000;-74.039451599121094;
449120000;-74.027351379394531;
459100000;-74.083686828613281;
469080000;-74.062812805175781;
479060000;-73.997367858886719;
489040000;-73.90167236328125;
499020000;-74.002090454101563;
509000000;-73.972480773925781;
518980000;-73.968605041503906;
528960000;-73.962944030761719;
538940000;-74.098152160644531;
548920000;-74.043266296386719;
558900000;-74.067939758300781;
568880000;-74.154014587402344;
578860000;-74.155403137207031;
588840000;-74.175552368164062;
598820000;-74.214324951171875;
608800000;-74.108116149902344;
618780000;-74.045028686523438;
628760000;-74.087364196777344;
638740000;-73.972274780273438;
648720000;-74.080047607421875;
658700000;-74.082778930664062;
668680000;-74.170684814453125;
678660000;-74.275016784667969;
688640000;-74.347579956054688;
698620000;-74.41290283203125;
708600000;-74.422676086425781;
718580000;-74.435882568359375;
728560000;-74.294204711914062;
738540000;-74.183731079101563;
748520000;-74.175819396972656;
758500000;-74.033767700195313;
768480000;-73.992118835449219;
778460000;-74.003959655761719;
788440000;-74.0948486328125;
798420000;-74.066291809082031;
808400000;-72.883384704589844;
818380000;-73.345962524414063;
828360000;-74.349983215332031;
838340000;-74.341033935546875;
848320000;-74.363906860351562;
858300000;-74.364761352539062;
868280000;-74.255714416503906;
878260000;-74.252487182617188;
888240000;-74.285812377929687;
898220000;-74.369720458984375;
908200000;-74.42333984375;
918180000;-74.556747436523438;
928160000;-74.485923767089844;
938140000;-74.611068725585938;
948120000;-74.726158142089844;
958100000;-74.721511840820313;
968080000;-74.733306884765625;
978060000;-74.710319519042969;
988040000;-74.677650451660156;
998020000;-74.530105590820313;
1008000000;-74.475120544433594;
1017980000;-74.37017822265625;
1027960000;-74.363945007324219;
1037940000;-74.428916931152344;
1047920000;-74.4560546875;
1057900000;-74.534889221191406;
1067880000;-74.513702392578125;
1077860000;-74.522262573242188;
1087840000;-74.517036437988281;
1097820000;-74.43475341796875;
1107800000;-74.402938842773438;
1117780000;-74.468902587890625;
1127760000;-74.424842834472656;
1137740000;-74.511825561523438;
1147720000;-74.577133178710938;
1157700000;-74.673782348632812;
1167680000;-74.761154174804688;
1177660000;-74.760795593261719;
1187640000;-74.781501770019531;
1197620000;-74.824272155761719;
1207600000;-74.748001098632813;
1217580000;-74.685279846191406;
1227560000;-74.585357666015625;
1237540000;-74.479339599609375;
1247520000;-74.414573669433594;
1257500000;-74.41876220703125;
1267480000;-74.354362487792969;
1277460000;-74.369796752929688;
1287440000;-74.414543151855469;
1297420000;-74.447006225585937;
1307400000;-74.497451782226562;
1317380000;-74.572906494140625;
1327360000;-74.685646057128906;
1337340000;-74.710128784179688;
1347320000;-74.72625732421875;
1357300000;-74.695083618164063;
1367280000;-74.568954467773437;
1377260000;-74.492042541503906;
1387240000;-74.497657775878906;
1397220000;-74.487411499023437;
1407200000;-74.555618286132813;
1417180000;-74.500534057617188;
1427160000;-74.552238464355469;
1437140000;-74.697296142578125;
1447120000;-74.793174743652344;
1457100000;-74.848014831542969;
1467080000;-74.837150573730469;
1477060000;-74.900863647460938;
1487040000;-74.898025512695313;
1497020000;-74.860153198242188;
1507000000;-74.877166748046875;
1516980000;-74.909652709960938;
1526960000;-74.915054321289062;
1536940000;-74.942581176757813;
1546920000;-74.9656982421875;
1556900000;-75.000381469726563;
1566880000;-75.079833984375;
1576860000;-75.114616394042969;
1586840000;-75.006240844726563;
1596820000;-74.912590026855469;
1606800000;-74.876060485839844;
1616780000;-74.865478515625;
1626760000;-74.888221740722656;
1636740000;-74.871238708496094;
1646720000;-74.93359375;
1656700000;-74.932868957519531;
1666680000;-74.958503723144531;
1676660000;-74.945388793945313;
1686640000;-74.925682067871094;
1696620000;-74.945526123046875;
